,lat,long
1477680,46.156000000000006,-119.264
1034788,38.6419,-94.3285
1183986,28.045956,-81.922314
1263866,29.321727000000003,-98.487797
1023032,34.96236,-89.88795999999999
234396,44.5212,-89.5588
388074,41.2742,-75.8903
1184104,30.4286,-84.2593
1534043,33.401638,-104.57061800000001
1017141,30.511,-88.9681
215466,45.1025,-91.49
833769,39.838,-104.9988
766623,42.2113,-70.9582
227398,43.097207,-106.38746
1494120,47.65613,-117.236949
1047094,39.7481,-92.4622
1327625,41.1345,-96.2458
337491,46.706322,-122.955551
804863,40.3748,-80.0731
167503,31.0425,-88.2549
1694391,35.6498,-81.2425
893682,42.427001000000004,-82.884162
1597349,42.9491,-78.8978
1374140,43.60204,-116.27813
868488,42.190346000000005,-85.562046
1235237,30.648959,-97.867928
536622,36.2417,-93.1062
193699,38.22,-85.74
856370,39.075757,-108.571244
873025,43.17,-83.89
999095,33.186572,-80.048683
669398,33.7644,-116.3398
410542,38.22,-85.74
273809,42.636453,-85.284634
1059392,39.12108,-94.37038000000001
1261635,33.5159,-101.9344
56451,40.769715000000005,-73.962647
936728,41.574,-71.6076
119814,41.2815,-73.0287
414048,46.883894,-96.882838
989966,45.132961,-94.52780200000001
117555,49.089546,-122.649032
997626,35.0528,-82.054
668339,37.2803,-121.9539
341110,38.9568,-94.6832
650806,36.0686,-119.0315
1126286,30.516475,-87.272429
1057423,38.800453999999995,-90.622916
1235004,29.8534,-95.4435
1403910,37.335208,-79.525315
162615,49.197012,-123.12558700000001
1402103,38.494714,-77.99258
523777,34.178219,-97.165685
32381,49.674959,-124.93776799999999
294916,41.675878000000004,-81.436305
797198,39.96,-76.73
271673,40.6265,-98.0846
1081143,36.1379,-86.741
881023,42.5648,-83.0701
725267,38.9115,-121.08
1135492,30.329190000000004,-82.75936
1362025,43.618712,-116.300339
558926,38.7587,-76.9835
162948,49.264593,-122.893201
491591,34.4814,-114.3483
981835,45.842869,-95.388863
1576705,42.158791,-74.5682
562003,39.44616,-77.05285
877616,42.7851,-83.7294
1640455,43.9429,-88.584137
1329774,41.424186,-96.49990799999999
1142080,30.313968,-81.599401
229467,30.199270000000002,-93.22182099999999
1357619,44.439495,-73.210154
645597,39.7386,-122.0085
1674022,35.954,-79.9884
596089,45.5472,-122.5001
398389,34.2098,-86.75200000000001
511375,35.2788,-98.9511
767421,42.0746,-71.4768
1165326,29.196673999999998,-81.016966
969846,45.8817,-95.382
190935,44.949128,-92.373665
1315709,33.111222,-82.027025
441260,40.021,-82.8079
728569,34.4197,-119.7078
50769,49.210949,-123.11471999999999
1386142,38.0995,-78.4085
79760,38.034828000000005,-100.767057
1283209,32.7649,-97.0112
1487670,47.206063,-122.32058700000002
942661,41.7803,-72.618
841518,40.151161,-105.10291799999999
941351,41.9099,-72.6029
1392443,39.0834,-78.1907
1141408,28.3648,-82.6757
1562095,41.962405,-91.696889
225868,30.2285,-93.18799999999999
137748,35.80381,-90.669388
1555500,42.506926,-93.264122
279365,43.543898999999996,-96.788485
839929,39.879515999999995,-104.797845
817471,40.9458,-79.7462
37039,39.819447,-88.9915
1001559,34.9245,-82.3197
1716618,34.989000000000004,-79.2228
1194738,28.977875,-81.29979499999999
531544,36.167215999999996,-94.106829
1453799,40.1431,-74.7032
136000,37.2292,-95.7165
1182515,30.1653,-85.5763
1336494,42.0329,-97.4229
1110923,28.977875,-81.29979499999999
1353615,36.2589,-115.1718
16813,43.22615,-71.3614
67108,45.969563,-112.504731
824892,39.9494,-76.71300000000001
1680369,34.780882,-77.386193
9744,38.3763,-97.6702
565566,44.053446,-123.118752
1327374,41.15735,-96.13503
606761,34.936662,-120.23477700000001
904386,42.318135,-85.234575
776569,41.7182,-71.14
428410,30.002045000000003,-90.13792099999999
974490,46.750462,-92.230954
1613262,42.065186,-76.14797800000001
1196176,28.495081,-81.310149
1186883,28.977875,-81.29979499999999
628368,36.614843,-121.84407399999999
308374,46.1514,-122.9634
268464,40.518,-87.3789
1015023,39.253225,-75.586968
14724,40.6682,-73.4588
244435,29.993716999999997,-90.181751
756594,42.342912,-71.118023
766828,42.127772,-70.829369
1006972,32.78,-79.99
199414,48.358682,-119.26956200000001
45154,37.258109000000005,-95.714943
1325796,40.7565,-96.6946
220473,33.9135,-84.6859
946120,41.5754,-73.0318
1472944,48.6952,-122.4124
990190,47.571999999999996,-94.8013
124553,49.210949,-123.11471999999999
52740,42.484503000000004,-92.324974
834518,38.88499,-104.81211
1235099,35.216559000000004,-101.829738
1332315,41.1345,-96.2458
1135135,29.210393,-82.191867
1099980,30.290802000000003,-81.535875
1205410,45.794629,-108.480084
1658820,44.6794,-88.8767
1224707,32.9146,-95.2726
1113949,27.4978,-82.4101
698307,34.4453,-119.8025
1165048,30.348000000000003,-81.5882
1264286,29.3499,-98.5638
229053,30.235478000000004,-92.01354
622808,37.909155,-122.061472
1352479,39.6582,-119.6954
177441,37.905741,-86.06234599999999
960586,44.740066999999996,-94.714901
765455,41.708471,-70.88332199999999
717782,35.248476000000004,-118.93631599999999
1139210,28.0313,-80.5995
207127,29.9379,-90.0331
924418,42.991653,-84.097853
654053,35.547515000000004,-118.935702
1424855,38.9847,-88.1704
1023533,34.8854,-89.6763
822495,41.536724,-75.94762800000001
1071889,35.858000000000004,-84.1194
232674,30.5301,-87.2793
1463211,40.017771999999994,-74.219234
1045168,37.002525,-93.158998
569561,44.697334999999995,-123.077602
1444125,41.867515999999995,-88.071899
321544,43.027590999999994,-76.484156
919210,42.67100000000001,-82.9988
1617245,40.5085,-74.2445
1195220,26.805706,-80.081878
1343126,40.76,-111.8627
173523,38.062313,-84.554615
768908,42.142658000000004,-72.55462
888955,43.318574,-86.236818
1324014,40.9219,-98.3411
1429967,41.9911,-88.6928
947619,41.377097,-72.85544399999999
742507,36.2028,-121.1273
498622,33.41272,-111.99059
919421,42.173228,-83.18881999999999
1132750,28.132871999999995,-80.63879
1174586,27.4547,-82.5359
562344,39.084,-77.0613
116673,49.164621999999994,-122.797475
233821,41.8206,-71.4443
1020537,32.37,-90.1738
1351423,35.9727,-114.8344
699065,36.33143,-119.282858
1019329,30.3962,-89.0353
947059,41.0702,-73.4397
168539,34.3547,-119.0713
470885,41.3222,-81.4996
302724,46.206891,-116.89628799999998
30578,49.894298,-96.999904
1225865,32.5251,-94.79899999999999
773952,42.333684000000005,-71.121155
585243,45.61685,-122.693008
1214551,47.830597,-110.66269399999999
1587380,42.6847,-73.7354
146883,32.7222,-84.0451
673114,40.180584,-122.21181999999999
875038,42.914352,-85.730042
370141,53.9725,-129.8986
613319,36.598812,-119.45703400000001
787217,39.7818,-77.747
1509539,47.1374,-119.2891
1367700,43.5937,-116.536
1706581,35.9815,-78.5392
1040497,37.06391,-93.556051
200087,61.5923,-149.3959
621102,32.9161,-117.1402
278951,43.186723,-84.163862
1626750,44.579941,-91.649451
1537859,35.5335,-105.926
295405,39.38,-119.2705
1285214,32.4276,-100.5391
1455070,39.4655,-74.9653
1552588,42.5122,-90.7384
122969,34.0133,-118.113
630368,34.276303000000006,-118.695021
887753,43.608000000000004,-84.1027
973726,48.600303000000004,-93.40462600000001
1670359,37.562182,-97.333937
1563518,41.2942,-92.6439
1114062,27.848653999999996,-82.69031600000001
1521810,40.0563,-86.0163
1147421,29.663149,-81.656087
12892,47.538337,-116.11980700000001
777680,42.125375,-70.94917
520878,36.013903000000006,-95.69411099999999
12193,45.547556,-94.191288
331011,61.1535,-149.8289
172155,36.032,-83.8021
775849,42.0702,-72.6227
493599,32.3379,-110.9855
620675,32.5753,-117.0707
361847,40.894535,-74.152367
906568,42.6159,-83.9248
145947,42.393211,-114.52216999999999
383954,35.8212,-77.1022
650862,36.7487,-119.7867
46754,50.029986,-125.24752600000001
1334983,41.447333,-97.058414
447403,40.9649,-80.6549
1393157,36.787461,-79.392142
866146,44.70002,-85.655079
1109836,28.864790000000003,-81.905222
1004328,33.927032000000004,-81.148101
1453670,39.9147,-74.1905
1151013,26.5952,-81.6849
1609136,41.9272,-73.8888
514161,36.1042,-96.0244
261073,38.4018,-93.785
132742,35.5072,-84.8081
335986,42.3883,-83.1937
970123,45.1194,-93.3431
420202,61.186937,-149.914678
250399,49.31203,-123.194332
1047274,38.1879,-90.4286
1293448,31.120759999999997,-97.70907
251583,40.742,-81.1031
1147843,29.5565,-81.219
779075,42.254,-71.1261
1265467,29.540022999999998,-98.41296700000001
434304,40.0204,-80.7638
358943,46.592276,-112.017975
355484,33.9637,-78.4064
427658,30.4273,-91.0356
1024333,33.5159,-90.1726
